사용월,호선명,지하철역,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,작업일자
202210,안산선,오이도,15285,7505,33277,13119,27605,14591,17715,8786,14010,9586,13051,12660,13589,13208,12886,12621,12129,13310,13906,15375,17160,17812,21564,22803,19928,29194,11118,22910,8941,16638,7941,13599,4890,12577,1498,8843,20221103
202210,안산선,정왕,10498,12301,19971,24049,18276,32086,13315,27773,12259,17296,13318,13894,14558,12904,15069,13847,14176,13317,17426,13526,24614,14063,32470,19567,34099,23467,16691,17619,12658,14253,9479,11823,6190,10153,2181,7075,20221103
202210,안산선,중앙,29410,11747,57313,17101,50116,37292,31037,31661,25843,21659,27801,22467,32040,27328,29107,30541,27500,29554,30234,30855,35835,39311,39120,49991,39877,70581,26433,57765,25467,36030,23979,30726,20778,24855,8375,19371,20221103
202210,안산선,초지,10680,4011,22889,9521,18201,12084,10712,7737,8104,5842,7809,4758,7882,5430,7078,6782,6117,6022,6919,6914,8240,8812,10558,12294,10956,17637,5450,15653,3995,10074,3252,9176,1905,7872,746,5959,20221103
202210,안산선,한대앞,17311,4184,32020,8593,27188,24147,19114,16928,16001,16081,15596,10435,17226,13756,15994,13037,15049,13556,15971,14463,20347,18932,22204,26122,19423,34159,10927,26877,9539,17839,8789,15073,7069,14270,3029,9905,20221103
202210,우이신설선,4.19민주묘지,3317,958,8995,2067,10317,11853,6887,6376,5615,7396,5919,11114,6657,6378,6963,6816,7960,6940,8601,5456,11270,5986,11750,6474,6950,7821,3962,7608,3159,4262,2322,4181,1487,3477,552,2673,20221103
202210,우이신설선,가오리,6270,1381,16987,2706,18080,5818,11748,4494,8717,4484,8276,4719,7989,5295,7389,5906,6355,6356,6103,7856,6126,9932,5963,10488,4554,13607,3051,12723,2094,7564,1500,6509,1170,5919,532,3442,20221103
202210,우이신설선,보문,1024,1085,2230,3414,3964,5195,3359,3390,2528,2443,2498,2213,2875,2216,2933,2641,2597,2423,3061,2625,3402,2970,3507,3318,4077,3751,2247,2508,1755,1764,1580,1533,1224,1297,533,1056,20221103
202210,우이신설선,북한산보국문,7478,2504,20454,5350,24533,10948,17175,8100,12049,6824,11158,6119,11688,7055,11147,7724,9639,8143,9606,9797,12323,12291,12670,15775,11877,20582,5852,18229,4465,11459,3885,10545,2781,9652,1412,6102,20221103
202210,우이신설선,북한산우이,3014,2028,9273,3801,9855,8516,6052,12405,4868,12986,5201,9961,6892,7537,8398,6161,10095,5471,11212,4948,11549,4954,9727,4953,6687,5729,3984,5199,2535,3571,1734,2959,905,2645,447,1510,20221103
